date,IBI,UI,pivot,NDBI,reducer,NDVI
2020-01-04 09:29:30,-20.54267698974251,-0.024725349396611675,0,0.05114517845761927,mean,0.14054325944063947
2020-01-04 09:29:30,28.62755592382351,-0.03634151196777462,1,0.04396568079534234,mean,0.16507754268973412
2020-01-09 09:29:29,-4.497370239281951,0.009059619281948768,0,0.07143842986791216,mean,0.14169028923651245
2020-01-09 09:29:29,-3.541993730106737,-0.001360370622277697,1,0.06470671197594444,mean,0.16284512047261188
2020-02-18 09:29:32,-65.60028603333244,0.02842272733845215,0,0.08366860011364273,mean,0.126948821059213
2020-02-18 09:29:32,-15.48032818335812,0.011156658482883615,1,0.07157928974120013,mean,0.14548127104547923
2020-04-13 09:29:35,2.197526975997046,0.01696178154359406,0,0.07909119148136626,mean,0.14961144428417505
2020-04-13 09:29:35,-2.243240549182251,-0.01963106911668739,1,0.05194302112579125,mean,0.18790600208234026
2020-04-28 09:29:31,3.113097012536148,0.058702624615939863,0,0.0997549524680355,mean,0.1447484853203302
2020-04-28 09:29:31,-5.074653642165671,0.00969114044394601,1,0.06200523018145272,mean,0.1974893824052518
2020-05-08 09:29:34,-10.552092450283983,0.040961165106649926,0,0.08087025454790193,mean,0.1491112735014081
2020-05-08 09:29:34,-3.28920030009928,-0.0056907972644869124,1,0.04519115749036948,mean,0.20135344733268432
2020-05-13 09:29:41,-5.695128208135932,0.016665244948941206,0,0.07192193970746172,mean,0.14426877851131903
2020-05-13 09:29:41,-2.0357277402053326,-0.032313616562788326,1,0.033837509309736724,mean,0.2005115426089291
2020-06-19 09:19:45,-0.2149398785762298,0.005720177886916652,0,0.06836019438000136,mean,0.14484888552223035
2020-06-19 09:19:45,0.5535832346873985,-0.04751913212406246,1,0.027804631757089776,mean,0.18539570804449004
2020-06-29 09:19:44,-0.2149398785762298,0.005720177886916652,0,0.06836019438000136,mean,0.14484888552223035
2020-06-29 09:19:44,-0.2149398785762298,0.005720177886916652,1,0.06836019438000136,mean,0.14484888552223035
2020-07-02 09:29:41,25.811469362808992,0.047419378445435006,0,0.10762216882516834,mean,0.12837070650797774
2020-07-02 09:29:41,0.7255922963809612,-0.0005250582706793762,1,0.0714087132379882,mean,0.17737615943408977
2020-07-12 09:29:40,-8.807606371351973,0.041753414657089226,0,0.10269833783206492,mean,0.12648372185989015
2020-07-12 09:29:40,-1.9744107065403955,-0.007841664566752568,1,0.06559802433054927,mean,0.18171260724151098
2020-07-27 09:29:38,7.114545988429631,0.0687196657709591,0,0.11481890768836604,mean,0.12805182556414682
2020-07-27 09:29:38,2.0823488178667393,0.0204922099785181,1,0.07951012118373084,mean,0.1791843657174406
2020-07-29 09:19:45,-0.2149398785762298,0.005720177886916652,0,0.06836019438000136,mean,0.14484888552223035
2020-07-29 09:19:45,-0.2149398785762298,0.005720177886916652,1,0.06836019438000136,mean,0.14484888552223035
2020-08-11 09:29:42,-5.384082480511572,0.03984840198018429,0,0.103050803958173,mean,0.12245082691119091
2020-08-11 09:29:42,4.384962717860303,-0.011096174105711886,1,0.0663923186334099,mean,0.1727842783799885
2020-08-18 09:19:45,-0.2149398785762298,0.005720177886916652,0,0.06836019438000136,mean,0.14484888552223035
2020-08-18 09:19:45,-4.714747149257915,-0.05184278623584431,1,0.03608924769418228,mean,0.16754064989316206
2020-08-26 09:29:39,-37.60182524413327,0.06656199460696964,0,0.11424279508021196,mean,0.12354240757695863
2020-08-26 09:29:39,-2.4494263056238914,0.018145689695541225,1,0.0784217296892342,mean,0.17469501120845748
2020-08-28 09:19:44,-1.9161065666175794,-0.009691864646536772,0,0.06557477975439746,mean,0.10832299918306754
2020-08-28 09:19:44,0.7409519282142052,-0.0384842688563311,1,0.046370495977326946,mean,0.16933188695342663
2020-08-31 09:29:41,-4.980247232700163,0.029265657231582937,0,0.09460190696249443,mean,0.12906004931787748
2020-08-31 09:29:41,-6.099987598988103,-0.02209249515976513,1,0.05620483609899209,mean,0.1848118139737937
2020-09-02 09:19:42,-0.2149398785762298,0.005720177886916652,0,0.06836019438000136,mean,0.14484888552223035
2020-09-02 09:19:42,-0.2149398785762298,0.005720177886916652,1,0.06836019438000136,mean,0.14484888552223035
2020-09-05 09:29:39,-1.8087513900327437,0.0553241169293334,0,0.10384012482606655,mean,0.12737305379907676
2020-09-05 09:29:39,6.44272670366915,0.009189516817277154,1,0.06991800925352253,mean,0.17339235586316326
2020-09-07 09:19:43,7.334454375431691,-0.012941695089991087,0,0.06626145378139424,mean,0.10349466357393039
2020-09-07 09:19:43,-2.1929720018743573,-0.04232104959470786,1,0.04484552521704948,mean,0.16610689228587333
2020-09-25 09:29:38,-1.384509192280201,0.05754722023061381,0,0.1070191011771437,mean,0.12708781640897995
2020-09-25 09:29:38,3.9339340148934534,0.026320564405770856,1,0.08375645709627291,mean,0.16678041971510274
2020-09-27 09:19:44,-0.2149398785762298,0.005720177886916652,0,0.06836019438000136,mean,0.14484888552223035
2020-09-27 09:19:44,15.873038921262705,-0.03652909187457651,1,0.04254280461183215,mean,0.1670049621629694
2020-09-30 09:29:41,-21.189949869662176,0.013380284604452557,0,0.07859489985467426,mean,0.13433985810816412
2020-09-30 09:29:41,-15.190024765381267,-0.014396548529739562,1,0.05916246943582689,mean,0.17494513627940184
2020-10-10 09:29:42,-0.6979167179626372,0.029200877051529486,0,0.09443621344716609,mean,0.1238815268468158
2020-10-10 09:29:42,4.67419010630272,-0.003035132409493929,1,0.07088317075361149,mean,0.1643230433930914
