reducer,date,NDVI,NDBI,IBI,UI
mean,2017-03-30,0.13080911205392345,-0.028627977186585836,0.7208765284893399,-0.1506157056712053
mean,2017-04-06,0.11436968655256222,0.024583195583127986,1.7073304149568078,-0.07621879188006087
mean,2017-04-16,0.10556381501204302,0.001242482212578099,-0.3725971911414919,-0.09522547415647062
mean,2017-04-19,0.1046558635007761,-0.009685938938785093,-2.7259619027165694,-0.11404338104664628
mean,2017-04-26,0.11048046895714718,-0.02090249684536688,19.698329615980008,-0.12363921315035423
mean,2017-04-29,0.02402891538089956,-0.13118397375493646,2.444661740134124,-0.2190346077456223
mean,2017-05-06,0.11863060688878024,-0.01589165594091122,-0.7713004280368714,-0.11193781167147461
mean,2017-05-09,0.10570881850324097,0.021728952452781038,-0.6505333634283178,-0.07755112234806343
mean,2017-05-19,0.12032902329612263,0.019957088168036336,-2.5145859993337925,-0.07191346566448714
mean,2017-05-26,0.08321727551029093,-0.017086499680202906,-1.4614368025127715,-0.11057346355420984
mean,2017-05-29,0.10688913761496811,0.0057964010190889705,-11.147579115758468,-0.1049930262177791
mean,2017-06-05,0.11020680314792101,0.03484116017378497,-0.9330107770009448,-0.05732039547157141
mean,2017-06-08,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-06-15,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-06-18,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-06-25,0.22312094612757874,-0.4820697751770996,2.1309818024958487,-0.4820697751770996
mean,2017-06-28,0.08611585278924583,0.044573129187474636,1.9293892052474766,-0.051411122355192546
mean,2017-07-05,0.039319250426009485,-0.9995451263020477,3.1506164176822677,-0.9995451263020477
mean,2017-07-18,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-07-25,0.10924926666545703,0.01377128970749445,1.470660805110687,-0.08440316416580018
mean,2017-07-28,0.09653945224545285,0.03260278657064745,0.8395928742842211,-0.06863991707462691
mean,2017-08-04,0.11202724185938696,0.01271738911536046,-5.652343672285814,-0.09012468696608665
mean,2017-08-14,0.1128144235676605,0.022920841887751585,16.4570893195112,-0.07756869616624248
mean,2017-08-17,0.09589170669239225,0.04605856778217545,2.76583496093104,-0.05339441215138649
mean,2017-08-24,0.10070914014340229,0.029593380905615554,-10.667676522010407,-0.07590118709445166
mean,2017-08-27,0.096926139176189,0.042218461562351255,-3.5395426534358343,-0.05771383207635709
mean,2017-09-03,0.07851419005229615,0.014949686820621774,5.052452993484014,-0.09731320837468055
mean,2017-09-06,0.12246882001857815,0.03046068618605402,0.46722336710914175,-0.07419120415604893
mean,2017-09-13,0.10946664097613058,0.023466380552064486,-1.7527740069683588,-0.08220573594835291
mean,2017-09-16,0.11485565483825297,0.03894981346712469,55.98484233866851,-0.06051826419331425
mean,2017-09-23,0.09909601382859094,0.0373857674812058,-12.989610657279663,-0.0718875902729222
mean,2017-09-26,0.08953173103211758,0.04292931458439026,1.1075888683493407,-0.0626155773911183
mean,2017-10-03,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-10-06,0.10994899659789947,0.04972711833930037,2.1980637925579307,-0.05416793334400696
mean,2017-10-13,0.10378754091704107,0.03595983100792821,7.694448219308642,-0.07412863266262176
mean,2017-10-16,0.09677795225959927,0.05889746402902405,1.8153366075406352,-0.043988428935050894
mean,2017-10-23,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-10-26,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-11-02,0.09307768818642644,0.0174218235789357,30.002188920128585,-0.09084272965855539
mean,2017-11-05,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-11-12,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-11-15,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-11-22,0.09994151008397707,0.060075848561105094,5.05886332780574,-0.051894853779486834
mean,2017-11-25,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-12-02,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-12-05,0.10028114106647827,0.05517841341528697,2.1091598420950906,-0.04207457490578199
mean,2017-12-12,0.06386901032560625,0.05841889575281134,2.550992109135127,-0.055705985816200156
mean,2017-12-15,0.069658939972801,0.08741017918766461,5.410238592577213,-0.009749753659029681
mean,2017-12-17,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-12-20,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-12-22,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2017-12-25,0.08153427492706218,0.06536081363747342,-1.5214736727534819,-0.03916054739245222
mean,2017-12-27,0.06345605670184641,0.04731059949913577,-1.473644581822409,-0.05461095737179883
mean,2017-12-30,0.0859387641739227,0.07669779723703472,6.369156912670984,-0.011706173053037078
mean,2018-01-01,0.07897451734726785,0.04627099975578182,7.172932921650001,-0.06318283935354249
mean,2018-01-04,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
mean,2018-01-06,0.06462182543871166,0.04998759196238384,2.6220006330038856,-0.04077940088191265
mean,2018-01-09,0.10605439715049221,0.02573914825531222,-1.3924165938705142,-0.06734931942707961
